name,location,price,capacity,rating,reviews,description
Olde Towne Special Events,"Atlanta, GA","Starting at $9,950",151-200 Guests,5,67,Olde Towne Special Events is a full-service events facility that hosts weddings and other milestone occasions.
Ivy Hall,"Roswell, GA","Starting at $18,000",201-250 Guests,4.9,90,The Roswell Mill is a unique and cherished piece of Southern history.
Vecoma At The Yellow River,"Snellville, GA","Starting at $2,500",151-200 Guests,4.9,204,Discover Vecoma at the Yellow River – Atlanta’s Premier All-Inclusive Wedding Venue
Flint Hill,"Norcross, GA",,251-300 Guests,4.8,209,"Flint Hill is a beautifully restored historic mansion located on a private estate in Norcross, GA."
Primrose Cottage,"Roswell, GA",,300+ Guests,4.9,275,"Primrose Cottage is an enchanting wedding venue located in Roswell, GA."
Little Gardens,"Lawrenceville, GA",,251-300 Guests,4.9,216,"Little Gardens in Lawrenceville, GA is a serene wedding venue with indoor and outdoor spaces."
Huntcliff River Club,Atlanta Area,"Starting at $4,880",101-150 Guests,4.9,30,"The Huntcliff River Club is a wedding and reception venue located in Atlanta, GA."
Country Club of Roswell,"Roswell, GA",,201-250 Guests,4.7,23,We are so excited for all of our newly engaged couples!
The 173 Carlyle House,"Norcross, GA","Starting at $9,250",300+ Guests,4.9,113,"Located in Norcross, GA, 173 Carlyle House is a beautiful turn-of-the-century mansion."
Roswell Historic Hall,"Roswell, GA","Starting at $8,450",300+ Guests,4.6,48,"Roswell Historic Hall is a romantic wedding venue located in Roswell, GA."
Kimball Hall,"Roswell, GA","Starting at $13,250",151-200 Guests,5,166,"Part of the Little River Farms venue group; this newly refurnished and renovated venue seats up to 200 guests,"
Brick and Ivey,"Marietta, GA","Starting at $11,500",151-200 Guests,5,107,"Brick and Ivey is North Atlanta’s newest wedding venue situated in Marietta, GA."
Stanley House Mansion,"Marietta, GA","Starting at $2,000",101-150 Guests,5,52,"Perched in Marietta, GA, Stanley House Mansion is a stunning wedding venue for any couple’s exquisite celebrations."
The Atrium,"Norcross, GA",,101-150 Guests,4.8,153,"The Atrium is a contemporary wedding venue situated on a magnificent garden property in Norcross, GA."
Lions Gate Estate,Metro Atlanta & Southeast United States,"Starting at $7,300",51-100 Guests,5,2,The Lion’s Gate Estate is a wedding venue located just north of Atlanta and offers a truly one-of-a-kind backdrop for your special day.
Naylor Hall,"Roswell, GA","Starting at $11,450",201-250 Guests,5,177,"Naylor Hall began life 170 years ago, but only recently did Sunny Bailey bring it into the 21st century with a complete makeover."
Douglasville Conference Center,"Douglasville, GA",,300+ Guests,3,1,"Based in Douglasville, GA, the Douglasville Conference Center is a wedding venue with a purpose."
Whitestone Reserve,"Austell, GA","Starting at $16,000",101-150 Guests,5,21,"Whitestone Reserve is a stunning new metro Atlanta wedding venue featuring gorgeous chandeliers, lots of natural lighting, light neutral color tones throughout and is surrounded by tranquil, picturesque surroundings."
Eden Garden House,atlanta ga,"Starting at $3,000",151-200 Guests,0,0,"Eden Garden House is a beautiful wedding venue in Lithonia, GA."
Roswell Mill Club,"Roswell, GA","Starting at $11,000",151-200 Guests,4.8,41,Roswell Mill is a unique and cherished piece of Southern history.
Brumby Hall & Gardens,"Marietta, GA","Starting at $1,750",151-200 Guests,4,2,"Brumby Hall & Gardens is a historic wedding venue in Marietta, GA."
Westin Atlanta Airport,"Atlanta, GA",,300+ Guests,4,4,"The Westin Atlanta Airport is a wedding venue located in Atlanta, GA."
Breckinridge Banquet Hall,"Duluth, GA","Starting at $4,050",101-150 Guests,4.8,27,"Breckinridge Banquet Hall is a wedding venue located in Duluth, Georgia."
The Foxglove,"Marietta, GA",,300+ Guests,4.5,4,"The Foxglove is a characterful venue welcoming weddings in Marietta, GA."
The Cotton Gin at Mill Creek,"Hiram, GA","Starting at $13,000",151-200 Guests,5,101,Truly All-Inclusive Wedding Venue - We pride ourselves on offering a proven planning experience and our no-fee guarantee that is unmatched in the Atlanta market.
