name,company,location_type,job_type,posting_date,application_link,location,description
Fall 2025- Social Media Intern to Founder & CEO,Tarte,On-site,Internship,2 weeks ago,https://www.linkedin.com/jobs/view/fall-2025-social-media-intern-to-founder-ceo-at-tarte-cosmetics-4283774490?position=1&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=rlHBjNxusuFIwuFBoz0wCw%3D%3D,"New York, NY","Job at Tarte in New York, NY"
BALENCIAGA Fall 2025 E-Commerce Intern | NYC,BALENCIAGA,On-site,Internship,2 weeks ago,https://www.linkedin.com/jobs/view/balenciaga-fall-2025-e-commerce-intern-nyc-at-balenciaga-4280942672?position=2&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=bstUzfcoRxmvJEW46dfCaw%3D%3D,"New York, NY","Job at BALENCIAGA in New York, NY"
"Intern, Marketing",Miami,On-site,Internship,2 weeks ago,https://www.linkedin.com/jobs/view/intern-marketing-at-miami-heat-4282321898?position=3&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=mF8Av7%2FnXDmidjvFdYKQTQ%3D%3D,"Miami, FL","Job at Miami in Miami, FL"
BOTTEGA VENETA Private Client Intern,Bottega,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/bottega-veneta-private-client-intern-at-bottega-veneta-4288461609?position=4&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=bndpcsNSmllBgw24TPbhcA%3D%3D,"New York, NY","Job at Bottega in New York, NY"
Client Insights Intern - Fall 2025,Louis,On-site,Internship,3 days ago,https://www.linkedin.com/jobs/view/client-insights-intern-fall-2025-at-louis-vuitton-4290261890?position=5&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=bh5qqu7ZruAopmH%2BvZZI9A%3D%3D,"New York, NY","Job at Louis in New York, NY"
TMZ Social Media Intern - Fall 2025,TMZ,On-site,Internship,4 weeks ago,https://www.linkedin.com/jobs/view/tmz-social-media-intern-fall-2025-at-tmz-4277872414?position=6&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=6OT86X5otNqo%2Fnv2myDr9g%3D%3D,"Los Angeles, CA","Job at TMZ in Los Angeles, CA"
Client Relations Intern - Fall 2025,Louis,On-site,Internship,2 weeks ago,https://www.linkedin.com/jobs/view/client-relations-intern-fall-2025-at-louis-vuitton-4283496940?position=7&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=0EeKiHpihQw4hd%2FDM8221Q%3D%3D,"New York, NY","Job at Louis in New York, NY"
Concerts & Events Social Media Intern,Phoenix,On-site,Internship,5 days ago,https://www.linkedin.com/jobs/view/concerts-events-social-media-intern-at-phoenix-suns-4289367502?position=8&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=S3iam1cfXwbBAdh2pIMRhg%3D%3D,"Phoenix, AZ","Job at Phoenix in Phoenix, AZ"
Product Marketing Intern,Miami,On-site,Internship,3 weeks ago,https://www.linkedin.com/jobs/view/product-marketing-intern-at-miami-heat-4280465574?position=9&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=gPFWi9kUhwYcSuiml75lvQ%3D%3D,"Miami, FL","Job at Miami in Miami, FL"
Quantitative Analyst Intern,Talos,On-site,Internship,3 weeks ago,https://www.linkedin.com/jobs/view/quantitative-analyst-intern-at-talos-4279257751?position=10&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=uYN8xUTm7WTl668pRSSRUQ%3D%3D,"New York, United States","Job at Talos in New York, United States"
"Intern, Social Commerce",BEAUTY,On-site,Internship,5 days ago,https://www.linkedin.com/jobs/view/intern-social-commerce-at-e-l-f-beauty-4289307127?position=11&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=cUMiciBv9EgIUu%2BzvfcFEA%3D%3D,"Oakland, CA","Job at BEAUTY in Oakland, CA"
"Social, Influencer, and Marketing Intern, NOYZ",BEACH,On-site,Internship,1 week ago,https://www.linkedin.com/jobs/view/social-influencer-and-marketing-intern-noyz-at-beach-house-group-4284511095?position=12&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=laOkslQ%2ByzZG9qxQs6rjDA%3D%3D,"Los Angeles, CA","Job at BEACH in Los Angeles, CA"
HR Associate Intern,LEGO Group,On-site,Internship,4 days ago,https://www.linkedin.com/jobs/view/hr-associate-intern-at-the-lego-group-4287167207?position=13&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=HrJFf%2FhY%2B7Wzgh1ZG4uvYw%3D%3D,"Richmond, VA","Job at LEGO Group in Richmond, VA"
"Software Engineer Intern, Front-End, PMS",Talos,On-site,Internship,3 weeks ago,https://www.linkedin.com/jobs/view/software-engineer-intern-front-end-pms-at-talos-4279652562?position=14&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=dxNR1cwZ9jctpOBn37y9%2FQ%3D%3D,"New York, NY","Job at Talos in New York, NY"
ML Research Scientist Intern (Fall 2025),Cognitiv,On-site,Internship,5 hours ago,https://www.linkedin.com/jobs/view/ml-research-scientist-intern-fall-2025-at-cognitiv-4291802163?position=15&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=0eFiQ1f61DWghOe2QNU0yw%3D%3D,"San Mateo, CA","Job at Cognitiv in San Mateo, CA"
2025 Fall Intern - Data Scientist,WeRide,On-site,Internship,6 days ago,https://www.linkedin.com/jobs/view/2025-fall-intern-data-scientist-at-weride-4289160043?position=16&pageNum=0&refId=PVQRdprLPYytRmL%2F22lD6w%3D%3D&trackingId=nO1GWhRGU5oYidFeS3edIA%3D%3D,"San Jose, CA","Job at WeRide in San Jose, CA"
